Iterations,TotalGames,XWins,OWins,Draws,WinRateX,WinRateO,AvgGameLength,totalExecutionTimeMillis
100,1000,316,299,385,31.60,29.90,7.04,2952
200,1000,275,236,489,27.50,23.60,7.44,4044
400,1000,102,97,801,10.20,9.70,8.49,6783
800,1000,10,17,973,1.00,1.70,8.95,10919
1600,1000,7,7,986,0.70,0.70,8.97,18190
3200,1000,0,0,1000,0.00,0.00,9.00,31816
6400,1000,0,0,1000,0.00,0.00,9.00,55813
12800,1000,0,0,1000,0.00,0.00,9.00,92783
25600,1000,0,0,1000,0.00,0.00,9.00,150472
51200,1000,0,0,1000,0.00,0.00,9.00,250104
