Iterations,TotalGames,XWins,OWins,Draws,WinRateX,WinRateO,AvgGameLength,TotalSimulations,AvgSimPerGame,TimeMillis
100,500,162,146,192,32.40,29.20,7.01,350600,701.20,712
200,500,114,134,252,22.80,26.80,7.48,748200,1496.40,692
400,500,48,59,393,9.60,11.80,8.44,1688800,3377.60,1197
800,500,6,6,488,1.20,1.20,8.95,3580800,7161.60,2219
1600,500,3,3,494,0.60,0.60,8.98,7180800,14361.60,4445
3200,500,0,0,500,0.00,0.00,9.00,14400000,28800.00,9362
6400,500,0,0,500,0.00,0.00,9.00,28800000,57600.00,15637
12800,500,0,0,500,0.00,0.00,9.00,57600000,115200.00,28597
25600,500,0,0,500,0.00,0.00,9.00,115200000,230400.00,54643
51200,500,0,0,500,0.00,0.00,9.00,230400000,460800.00,105490
